IDAE -  ,,,,,,,,
Modelo,Clasificación Energética,Motorización,Categoría,MTMA (Kg),Consumo Eléctrico (kWh/100 km),Potencia eléctrica (kW),Autonomía eléctrica (km),Capacidad de la batería (kWh)
Audi e-tron sportback 50 quattro 230 kW MY21,,Eléctricos puros,M1,3040,216,230,346,71
Audi e-tron sportback 50 quattro 230 kW S line/Black Line MY21,,Eléctricos puros,M1,3040,216,230,323,71
Audi e-tron sportback 55 quattro 230 kW Advanced MY21,,Eléctricos puros,M1,3170,240,300,414,95
Audi e-tron sportback 55 quattro 300 kW MY21,,Eléctricos puros,M1,3170,224,300,446,95
Audi e-tron sportback 55 quattro 300 kW S line MY22,,Eléctricos puros,M1,3170,23.7,300,411,85
Audi e-tron sportback 55 quattro 300 kW S line/Black line MY21,,Eléctricos puros,M1,3170,238,300,415,95
Audi Q4 35 e-tron MY22 Básico/Advanced/S Line/Black Line,,Eléctricos puros,M1,2475,17.4,125,335,51.5
Audi Q4 40 e-tron MY22 Básico/Advanced/S Line/Black Line,,Eléctricos puros,M1,2640,17.9,150,503,76.6
Audi Q4 50 e-tron MY22 Advanced/S Line/Black Line,,Eléctricos puros,M1,2720,19.3,220,456,76.6
Audi Q4 e-tron 35 125 KW Advanced/ S line/Black line MY22,,Eléctricos puros,M1,2475,17.4,125,335,51.5
Audi Q4 e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY24,,Eléctricos puros,M1,2640,17,150,525,76.6
Audi Q4 e-tron 40 150 KW Advanced/ S line/Black line MY22,,Eléctricos puros,M1,2640,17.7,150,510,76.6
Audi Q4 e-tron 40 150 KW Advanced/ S line/Black line MY23,,Eléctricos puros,M1,2640,17.7,150,519,76.6
Audi Q4 e-tron 45 210 KW (282CV) Advanced MY24,,Eléctricos puros,M1,2660,16.6,210,533,77
Audi Q4 e-tron 45 210 KW (282CV) Black line MY24,,Eléctricos puros,M1,2660,17.1,210,518,77
Audi Q4 e-tron 45 210 KW (282CV) S line MY24,,Eléctricos puros,M1,2660,17,210,520,77
Audi Q4 e-tron 50 quattro 220 kW (299 CV) Advanced/ S line/Black line MY23,,Eléctricos puros,M1,2720,17.5,220,503,76.6
Audi Q4 e-tron 50 quattro 220 kW (299 CV) Advanced/ S line/Black line MY24,,Eléctricos puros,M1,2720,17.5,220,508,76.6
Audi Q4 e-tron 50 quattro 220 KW S line/Black line MY22,,Eléctricos puros,M1,2720,19.3,220,456,76.6
Audi Q4 e-tron 55 quattro 250 KW (335CV) Advanced MY24,,Eléctricos puros,M1,2750,17.1,250,514,77
Audi Q4 e-tron 55 quattro 250 KW (335CV) Black line MY24,,Eléctricos puros,M1,2750,17.6,250,502,77
Audi Q4 e-tron 55 quattro 250 KW (335CV) S line MY24,,Eléctricos puros,M1,2750,17.5,250,504,77
Audi Q4 Sportback 35 e-tron MY22 Básico/Advanced/S Line/Black Line,,Eléctricos puros,M1,2475,18,125,323,51.5
Audi Q4 Sportback 50 e-tron MY22 Advanced/S Line/Black Line,,Eléctricos puros,M1,2720,17.9,220,488,76.6
Audi Q4 Sportback e-tron 35 125 KW Advanced/ S line/Black line MY22,,Eléctricos puros,M1,2475,18.1,125,323,51.5
Audi Q4 Sportback e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY23,,Eléctricos puros,M1,2625,17,150,519,76.6
Audi Q4 Sportback e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY24,,Eléctricos puros,M1,2625,17,150,538,76.6
Audi Q4 Sportback e-tron 40 150 KW Advanced/ S line/Black line MY22,,Eléctricos puros,M1,2625,18.1,150,499,76.6
Audi Q4 Sportback e-tron 45 210 KW (282CV) Advanced MY24,,Eléctricos puros,M1,2660,16.1,210,548,77
Audi Q4 Sportback e-tron 45 210 KW (282CV) Black line MY24,,Eléctricos puros,M1,2660,16.5,210,538,77
Audi Q4 Sportback e-tron 45 210 KW (282CV) S line MY24,,Eléctricos puros,M1,2660,16.4,210,541,77
Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY22,,Eléctricos puros,M1,2475,17.7,220,497,76.6
Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY23,,Eléctricos puros,M1,2475,17.1,220,512,76.6
Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY24,,Eléctricos puros,M1,2475,17.1,220,519,76.6
Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) Advanced MY24,,Eléctricos puros,M1,2750,16.6,250,527,77
Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) Black line MY24,,Eléctricos puros,M1,2750,17,250,518,77
Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) S line MY24,,Eléctricos puros,M1,2750,16.9,250,521,77
Audi Q8 e-tron 50 quattro 250 kW Advanced/ S line MY23,,Eléctricos puros,M1,3170,20.5,250,483,89
Audi Q8 e-tron 50 quattro 250 kW Advanced/ S line MY24,,Eléctricos puros,M1,3170,20.5,250,487,89
Audi Q8 e-tron 55 quattro 300 kW Advanced/ S line MY23,,Eléctricos puros,M1,3180,21,300,571,106
Audi Q8 e-tron 55 quattro 300 kW Advanced/ S line MY24,,Eléctricos puros,M1,3180,21,300,576,106
Audi Q8 e-tron Sportback 50 quattro 250 kW Advanced/ S line MY23,,Eléctricos puros,M1,3180,19.9,250,497,89
Audi Q8 e-tron Sportback 50 quattro 250 kW Advanced/ S line MY24,,Eléctricos puros,M1,3180,19.9,250,497,89
Audi Q8 e-tron Sportback 55 quattro 300 kW Advanced/ S line MY23,,Eléctricos puros,M1,3180,20.3,300,591,106
Audi Q8 e-tron Sportback 55 quattro 300 kW Advanced/ S line MY24,,Eléctricos puros,M1,3180,20.3,300,591,106
Audi RS e-tron GT RS e-tron GT 440 kW (598 CV) RS MY23,,Eléctricos puros,M1,2860,20.3,440,486,86
Audi RS e-tron GT RS e-tron GT 440 kW (598 CV) RS MY24,,Eléctricos puros,M1,2860,20.3,440,495,86
Audi RS e-tron GT RS e-tron GT 440 KW RS e-tron GT MY22,,Eléctricos puros,M1,2860,20.8,440,468,85
BMW BMW i7 xDrive60 51EJ,,Eléctricos puros,M1,2640,18.4,400,625,101.7
BMW i i3 7Z21,,Eléctricos puros,M1,1670,13.1,125,300,33.2
BMW i i3 7Z21,,Eléctricos puros,M1,1670,13.6,125,290,33.2
BMW i i3 7Z41,,Eléctricos puros,M1,1760,11.5,125,235,33.2
BMW i i3 7Z41,,Eléctricos puros,M1,1760,11.9,125,225,33.2
BMW i i3 7Z61,,Eléctricos puros,M1,1700,14.3,135,280,33.2
BMW i i3 7Z81,,Eléctricos puros,M1,1780,12.5,135,220,33.2
BMW i i3 8P21,,Eléctricos puros,M1,1710,13.1,125,330,42.2
BMW i i3 8P21 8P21,,Eléctricos puros,M1,1710,13.1,125,330,42.2
BMW i i3 BEV i3 Grupo 1 Automatico (I01) (7Z21),,Eléctricos puros,M1,1670,13.1,125,300,33.2
BMW i i3 BEV i3 Grupo 2 Automatico (I01) (7Z21),,Eléctricos puros,M1,1670,13.6,125,290,33.2
BMW i i3 REEV i3 Grupo 1 Automatico (I01) (CO2 13) (7Z41),,Eléctricos puros,M1,1760,11.5,125,235,33.2
BMW i i3 REEV i3 Grupo 2 Automatico (I01) (CO2 14) (7Z41),,Eléctricos puros,M1,1760,11.9,125,225,33.2
BMW i i3S 8P61,,Eléctricos puros,M1,1730,14,125,330,42.2
BMW i i3s BEV i3s Automatico (I01) (7Z61),,Eléctricos puros,M1,1700,14.3,135,280,33.2
BMW i i3s REEV i3s Automatico (I01) (CO2 15) (7Z81),,Eléctricos puros,M1,1780,12.5,135,220,33.2
BMW i i4 edrive40,,Eléctricos puros,M1,2050,16.1,250,590,83.6
BMW i i4 i4 edrive40,,Eléctricos puros,M1,2050,16.1,250,590,83.6
BMW i i4 M50,,Eléctricos puros,M1,2215,18,400,520,83.6
BMW i3 (120 Ah) 7Z21,,Eléctricos puros,M1,1710,13.1,125,308,120
BMW i3s (120 Ah) 7Z21,,Eléctricos puros,M1,1730,14,125,284,120
BMW i4 35 eDrive (Desde prod 03/2024) 41 AW,,Eléctricos puros,M1,2545,15.8,210,479,67
BMW i4 35 eDrive (Desde prod 11/2023) 41 AW,,Eléctricos puros,M1,2545,15.8,210,478,67
BMW i4 35 eDrive (Desde prod 11/2023) 41 AW,,Eléctricos puros,M1,2545,15.8,210,478,67
BMW i4 40 eDrive (Desde prod 11/2023) 71 AW,,Eléctricos puros,M1,2605,16.1,250,584,81.1
BMW i4 40 eDrive (Desde prod 11/2023) 71 AW,,Eléctricos puros,M1,2605,16.1,250,584,81.1
BMW i4 40 eDrive 71 AW,,Eléctricos puros,M1,2605,16.1,250,590,81.1
BMW i4 eDrive 35 41AW,,Eléctricos puros,M1,1990,15.8,210,483,67
BMW i4 eDrive40 71AW,,Eléctricos puros,M1,2050,16.1,250,590,83.6
BMW i4 eDrive40 71AW,,Eléctricos puros,M1,1710,16.1,250,590,80.7
BMW i4 M50 (Desde prod 11/2023) 31 AW,,Eléctricos puros,M1,2735,18.1,400,512,81.1
BMW i4 M50 (Desde prod 11/2023) 31 AW,,Eléctricos puros,M1,2735,18.1,400,512,81.1
BMW i4 M50 31 AW,,Eléctricos puros,M1,2735,18.1,400,520,81.1
BMW i4 M50 31AW,,Eléctricos puros,M1,1730,18,400,520,80.7
BMW i4 M50 31AW,,Eléctricos puros,M1,2215,18,400,520,83.6
BMW i5 eDrive40 Berlina (Desde prod 07/2023) 31FK,,Eléctricos puros,M1,2740,16,250,582,81.2
BMW i5 eDrive40 Berlina (Desde prod 11/2023) 31FK,,Eléctricos puros,M1,2740,16,250,570,81.2
BMW i5 eDrive40 Touring (Desde prod 03/2024) 11HH,,Eléctricos puros,M1,2760,16.5,250,547,83.9
BMW i5 M60 xDrive Berlina (Desde prod 07/2023) 41FK,,Eléctricos puros,M1,2895,18.2,442,516,81.3
BMW i5 M60 xDrive Berlina (Desde prod 11/2023) 41FK,,Eléctricos puros,M1,2895,18.2,442,510,81.3
BMW i5 M60 xDrive Touring (Desde prod 03/2024) 31HH,,Eléctricos puros,M1,2960,18.3,442,499,83.9
BMW i5 xDrive40 Berlina (Desde prod 03/2024) 11HG,,Eléctricos puros,M1,2890,17.2,290,530,83.9
BMW i7 eDrive50 (Desde prod 07/2023) 41EJ,,Eléctricos puros,M1,3130,19.1,335,612,101.7
BMW i7 eDrive50 (Desde prod 11/2023) 41EJ,,Eléctricos puros,M1,3130,19.1,335,611,101.7
BMW i7 M70 xDrive (Desde prod 07/2023) 81EH,,Eléctricos puros,M1,3250,20.8,485,560,101.7
BMW i7 M70 xDrive (Desde prod 11/2023) 81EH,,Eléctricos puros,M1,3250,20.8,485,559,101.7
BMW i7 xDrive60 (Desde prod 11/2023) 51EJ,,Eléctricos puros,M1,3250,18.5,400,624,101.7
BMW iX M60 (Desde prod 07/2023) 31CF,,Eléctricos puros,M1,3160,21.8,455,568,108.6
BMW iX M60 (Desde prod 11/2023) 31CF,,Eléctricos puros,M1,3160,21.8,455,563,108.6
BMW iX M60 31CF,,Eléctricos puros,M1,2595,21.7,455,568,107.5
BMW iX M60 31CF,,Eléctricos puros,M1,3160,21.9,455,563,108.6
BMW iX xDrive40 (Desde prod 11/2023) 11CF,,Eléctricos puros,M1,3010,19.4,240,425,74.1
BMW iX xDrive40 11CF,,Eléctricos puros,M1,2365,19.3,240,426,76.6
BMW iX xDrive50 (Desde prod 11/2023) 21CF,,Eléctricos puros,M1,3145,19.7,385,628,108.8
BMW iX xDrive50 21CF,,Eléctricos puros,M1,3145,19.8,386,631,111.5
BMW iX1 eDrive20 (Desde prod 11/2023) 71EG,,Eléctricos puros,M1,2435,15.4,150,474,64.8
BMW iX1 xDrive30 (Desde prod 07/2023) 61EF,,Eléctricos puros,M1,2580,16.9,230,439,64.8
BMW iX1 xDrive30 61EF,,Eléctricos puros,M1,2010,16.8,230,440,64.7
BMW iX2 eDrive20 (Desde prod 03/2024) 51GM,,Eléctricos puros,M1,2460,15.3,150,478,64.8
BMW iX2 xDrive30 (Desde prod 11/2023) 71GM,,Eléctricos puros,M1,2605,16.3,230,449,64.8
BMW iX3 7X41,,Eléctricos puros,M1,2260,18.6,210,460,80
BMW iX3 M Sport (Desde prod 01.2024) 41DU,,Eléctricos puros,M1,2740,17.6,210,471,73.9
BMW iX3 M Sport 41DU,,Eléctricos puros,M1,2255,18.5,210,462,74.3
BYD BYD ATTO 3 SC2E/M2F1C/1NXE5E001NL1,,Eléctricos puros,M1,2160,15.6,150,420,60.5
BYD BYD DOLPHIN EM2E-1/H2F1C/2NTE5F002NL1,,Eléctricos puros,M1,2068,15.9,150,427,60.4
BYD HAN AWD SE2D1C/1NXE5E001NL1,,Eléctricos puros,M1,2660,18.5,380,521,85.4
BYD SEAL AWD SE2D1C/1NXE5E001NL1,,Eléctricos puros,M1,2631,18.2,,520,82.5
BYD SEAL SE2R1C/2NTE5F002NL1,,Eléctricos puros,M1,2501,16.6,230,570,82.5
BYD SEAL U ME2F1C/1NXE5E001NL1,,Eléctricos puros,M1,2430,19.9,160,420,71.8
BYD SEAL U ME2F1C/2NYE5E002NL1,,Eléctricos puros,M1,2557,20.5,160,500,87
BYD TANG M2D1C/1NXE7E001NL1,,Eléctricos puros,M1,3060,23.8,,400,86.4
Citroën C-Zero Eléctrico,,Eléctricos puros,M1,1450,12.6,49,150,14.5
Citroën ë-Berlingo 50 kWh Talla M,,Eléctricos puros,M1,2290,22.7,100,245,50
Citroën ë-Berlingo 50 kWh Talla XL,,Eléctricos puros,M1,2320,22.7,100,245,50
Citroën ë-C4 115 KW,,Eléctricos puros,M1,2020,14.9,115,420,54
Citroën ë-C4 eléctrico 100 KW - 50KWh E SERIES,,Eléctricos puros,M1,2000,16.6,100,357,50
Citroën ë-C4 eléctrico 100 KW - 50KWh YOU,,Eléctricos puros,M1,2000,16.6,100,357,50
Citroën ë-C4 Eléctrico 100 KW C-SERIES,,Eléctricos puros,M1,2000,15.3,100,353,50
Citroën ë-C4 Eléctrico 100 KW FEEL,,Eléctricos puros,M1,2000,15.3,100,353,50
Citroën ë-C4 Eléctrico 100 KW FEEL PACK,,Eléctricos puros,M1,2000,15.3,100,353,50
Citroën ë-C4 Eléctrico 100 KW SHINE,,Eléctricos puros,M1,2000,15.3,100,353,50
Citroën ë-C4 eléctrico 100KW- 50KWh MAX,,Eléctricos puros,M1,2000,16.6,100,357,50
Citroën ë-C4 eléctrico 100KW- 50KWh PLUS,,Eléctricos puros,M1,2000,16.6,100,357,50
Citroën ë-C4 eléctrico 115 KW - 54KWh E SERIES,,Eléctricos puros,M1,2020,14.9,115,420,54
Citroën ë-C4 eléctrico 115 KW - 54KWh MAX,,Eléctricos puros,M1,2020,14.9,115,420,54
Citroën ë-C4 eléctrico 115 KW - 54KWh PLUS,,Eléctricos puros,M1,2020,14.9,115,420,54
Citroën ë-C4 ELÉCTRICO 115 KW - 54KWh SHINE ,,Eléctricos puros,M1,2020,14.9,115,420,54
Citroën ë-C4 eléctrico 115 KW - 54KWh YOU,,Eléctricos puros,M1,2020,14.9,115,420,54
Citroën ë-C4X 115 KW,,Eléctricos puros,M1,2040,14.8,115,420,54
Citroën ë-C4X ELÉCTRICO 100 KW,,Eléctricos puros,M1,2040,15.4,100,357,50
Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh Ë Series,,Eléctricos puros,M1,2040,15.4,100,357,50
Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh Plus,,Eléctricos puros,M1,2040,15.4,100,357,50
Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh You,,Eléctricos puros,M1,2040,15.4,100,357,50
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Ë Series,,Eléctricos puros,M1,2040,14.8,115,420,54
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Max,,Eléctricos puros,M1,2040,14.8,115,420,54
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Plus,,Eléctricos puros,M1,2040,14.8,115,420,54
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh You,,Eléctricos puros,M1,2040,14.8,115,420,54
Citroën ë-Jumpy Combi Talla  M  Eléctrico 100 KW 50 KWh,,Eléctricos puros,M1,3015,28.2,100,196,50
Citroën ë-Jumpy Combi Talla  M  Eléctrico 100 KW 75 KWh,,Eléctricos puros,M1,3100,29.5,100,285,75
Citroën ë-Jumpy Combi Talla  XL Eléctrico 100 KW 75 KWh,,Eléctricos puros,M1,3100,29.5,100,285,75
Citroën ë-SpaceTourer Business Talla M  Eléctrico 100 kW 75 kWh,,Eléctricos puros,M1,3100,29.5,100,285,75
Citroën ë-SpaceTourer Business Talla M Eléctrico 100 kW 50 kWh,,Eléctricos puros,M1,3015,28.2,100,196,50
Citroën ë-SpaceTourer Business Talla XL Eléctrico 100 kW 75 kWh,,Eléctricos puros,M1,3100,29.5,100,285,75
Citroën ë-SpaceTourer Business Talla XS Eléctrico 100 kW 50 kWh,,Eléctricos puros,M1,2925,28.2,100,196,50
Citroën ë-SpaceTourer Feel Talla M Eléctrico 100 kW 50 kWh,,Eléctricos puros,M1,2950,28.2,100,196,50
Citroën ë-SpaceTourer Feel Talla M Eléctrico 100 kW 75 kWh,,Eléctricos puros,M1,3100,29.5,100,285,75
Citroën ë-SpaceTourer Shine Talla M Eléctrico 100 kW 75 kWh,,Eléctricos puros,M1,3100,29.5,100,285,75
Citroën Nuevo C3 ë-C3 Eléctrico Max,,Eléctricos puros,M1,1910,16.4,83,300,44
Citroën Nuevo C3 ë-C3 Eléctrico You,,Eléctricos puros,M1,1910,16.4,83,300,44
Citroën Nuevo ë-C4 Eléctrico 100 KW,,Eléctricos puros,M1,2000,16.6,100,338,50
Citroën Nuevo ë-C4X ELÉCTRICO 100 KW Feel,,Eléctricos puros,M1,2040,15.1,100,358,50
Citroën Nuevo ë-C4X ELÉCTRICO 100 KW Feel Pack,,Eléctricos puros,M1,2040,15.1,100,358,50
Citroën Nuevo ë-C4X ELÉCTRICO 100 KW Shine,,Eléctricos puros,M1,2040,15.1,100,358,50
Citroën Nuevo ë-C4X ELÉCTRICO 115 KW - 54KWh SHINE ,,Eléctricos puros,M1,2040,14.8,115,420,54
CUPRA BORN 150kW (204CV) 58kWh,,Eléctricos puros,M1,2260,16.7,150,424,58
CUPRA BORN 150kW (204CV) 58kWh Advanced Plus,,Eléctricos puros,M1,2280,17.3,150,424,58
CUPRA BORN 150kW (204CV) 62kWh LAUNCH EDITION,,Eléctricos puros,M1,2260,16.7,150,424,58
CUPRA BORN 170kW (231CV) 58kWh e-Boost Pack Advanced Plus,,Eléctricos puros,M1,2290,17.6,170,420,58
CUPRA BORN 170kW (231CV) 77kWh e-Boost Pack + Battery Pack Advanced Plus,,Eléctricos puros,M1,2310,17.5,170,549,77
CUPRA BORN 58kWh 170kW (231CV) e-Boost Pack,,Eléctricos puros,M1,2280,17.4,170,420,58
CUPRA BORN 58kWh 170kW (231CV) e-Boost Pack LAUNCH EDITION,,Eléctricos puros,M1,2280,17.4,170,420,58
CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack (4 plazas),,Eléctricos puros,M1,2300,17.5,170,549,
CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack (5 plazas),,Eléctricos puros,M1,2300,17.5,170,549,
CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack LAUNCH EDITION,,Eléctricos puros,M1,2300,17.5,170,495,
"Dacia Spring SI1 Electric 45 (33 kW) (semi: E2 M1 B4E2R, E2PM1 B4E2R,  E2 M1 B4E, E2 M1 B4E2S, E2PM1DB4E2R)",,Eléctricos puros,M1,1293,15.2,33,225,
"Dacia Spring SI1 Electric 45 (33 kW) (semi: RC2 M1 B4E2S, RC2 M1 B4E2R)",,Eléctricos puros,M1,1300,15.2,33,225,
"Dacia Spring SI1 Electric 45 (33 kW) (semi: Y2 M1 B4E2S, Y2 M1 B4E2R, Y2PM1 B4E2R,Z2 M1 B4E2S, Z2 M1 B4E2R)",,Eléctricos puros,M1,1286,15.2,33,225,
Dacia Spring SI1 Electric 65 (48 kW) (semi: Z3 M2 B4ER),,Eléctricos puros,M1,1300,14.3,48,220,
DFSK SERES 3 S1,,Eléctricos puros,M1,2065,16,120,329,
DFSK SERES 3 S2,,Eléctricos puros,M1,2065,16,120,329,
DS DS 3 CROSSBACK E-TENSE,,Eléctricos puros,M1,2008,17,100,320,
DS DS 3 E-TENSE,,Eléctricos puros,M1,2008,16.4,115,404,
EUROGAZA EMERGENCIAS EDAIN EDM4Te3200115060,,Eléctricos puros,M1,3200,19.3,85,181,
EUROGAZA EMERGENCIAS EDAIN EDM4Te3200115066,,Eléctricos puros,M1,3200,19.3,85,181,
EUROGAZA EMERGENCIAS EPONA EPM1De350055110,,Eléctricos puros,M1,3500,29.2,41,120,
EUROGAZA EMERGENCIAS EPONA EPM1De350074110,,Eléctricos puros,M1,3500,29.7,55,168,
EUROGAZA EMERGENCIAS FEBRIS FEM1De350055110,,Eléctricos puros,M1,3500,29.2,41,120,
EUROGAZA EMERGENCIAS FEBRIS FEM1De350074110,,Eléctricos puros,M1,3500,29.7,55,168,
EUROGAZA EMERGENCIAS PANACEA PAM1De350055110,,Eléctricos puros,M1,3500,29.2,41,120,
EUROGAZA EMERGENCIAS PANACEA PAM1De350074110,,Eléctricos puros,M1,3500,29.7,55,168,
EUROGAZA EMERGENCIAS PANACEA ROLLIBOX PRM1De350055110,,Eléctricos puros,M1,3500,29.2,41,120,
EUROGAZA EMERGENCIAS PANACEA ROLLIBOX PRM1De350074110,,Eléctricos puros,M1,3500,29.7,55,168,
EUROGAZA EMERGENCIAS SIRONA SIM1De350055110,,Eléctricos puros,M1,3500,29.2,41,120,
EUROGAZA EMERGENCIAS SIRONA SIM1De350074110,,Eléctricos puros,M1,3500,29.7,55,168,
Fiat 500e 3+1 -  Icon / Passion / Business  (87kW),,Eléctricos puros,M1,1720,14.3,87,313,
Fiat 500e 3+1 - La Prima  (87kW),,Eléctricos puros,M1,1720,14.6,87,313,
Fiat 500e 500e 3+1 Icon 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e 3+1 Icon 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.3,87,320,
Fiat 500e 500e 3+1 laPrima 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.6,87,320,
Fiat 500e 500e 3+1 laPrima by Bocelli 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.6,87,320,
Fiat 500e 500e Action 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Cabrio Icon 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Cabrio Icon 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Cabrio laPrima 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Cabrio laPrima by Bocelli 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Cabrio Red 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Cabrio Red 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Icon 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Icon 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e 500e laPrima 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e 500e laPrima by Bocelli320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e 500e Red 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,185,
Fiat 500e 500e Red 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e Berlina -  Icon / Passion / Business  (87kW),,Eléctricos puros,M1,1690,14,87,313,
